human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
248,ERNEUERBARE-ENERGIEN-RICHTLINIE (RED III),POLICY,"Policy type: directive; Jurisdiction: European Union; Status: in force (implied by context); Source meaning: The revised Renewable Energy Directive III (RED III) requires Member States to define Renewables Acceleration Areas and to present plans for renewable-technologies, including for Austria.",1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
249,ERNEUERBAREN-BESCHLEUNIGUNGSGEBIETE (RENEWABLES ACCELERATION AREAS),POLICY,Policy type: zoning instrument; Jurisdiction: European Union / Austria; Status: planned/required by RED III; Source meaning: Renewables Acceleration Areas are to be defined by Member States to enable faster expansion of renewable energy installations.,1,4,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
250,ÖKODESIGN-RICHTLINIE,POLICY,"Policy type: directive; Jurisdiction: European Union; Status: in force and expanding to regulation; Source meaning: The Eco-design Directive contributed to achieving EU energy-efficiency goals and is being extended to a holistic lifecycle approach as a European regulation, also applicable to photovoltaics.",1,3,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
251,ERNEUERBAREN-AUSBAU-BESCHLEUNIGUNGSGESETZ (EABG),POLICY,"The ERNEUERBAREN-AUSBAU-BESCHLEUNIGUNGSGESETZ (EABG), also referred to as the Renewable Expansion Acceleration Act, is a law in Austria that is planned or adopted, with one source indicating its status as unknown. It is intended to significantly contribute to simplifying and speeding up procedures for renewables and is referenced as part of Austria’s renewable policy framework.",2,3,"['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",,,,,
252,NETZINFRASTRUKTUR,INFRASTRUCTURE,"Network infrastructure encompasses the physical and technical systems necessary for grid connection, distribution, and operation of PV systems and other renewables.",1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
253,VERFAHRENFREISTELLUNG,SUPPORT_SCHEME,"Exemption from approval procedure (""Verfahrensfreistellung"") is a measure proposed to ease administrative burden for certain PV and renewables installations.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
254,VEREINFACHTES VERFAHREN,SUPPORT_SCHEME,"A simplified procedure (""Vereinfachtes Verfahren"") for approval of certain installations is proposed to speed up deployment of renewables and PV systems.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
255,BÜROKRATIE,CONSTRAINT,Bureaucracy is an administrative constraint identified as potentially hindering access to the public electricity grid and decision-making for PV installation projects.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
256,ANSPRUCHSVOLL/UMFASSENDES GENEHMIGUNGSVERFAHREN,CONSTRAINT,Complex and comprehensive approval procedures are a regulatory and administrative constraint for the rapid expansion of renewable and PV installations.,1,3,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
257,STUDIE „ANSCHLUSS ERNEUERBARE ENERGIEN“,MARKET_METRIC,"Metric: qualitative and quantitative analysis of barriers for the connection and operation of renewable-energy plants, focused on photovoltaics; Value: not specified; Unit: not specified; Reference year: March 2023; Geographic scope: Austria; Approximate: no; Source meaning: The study examines and analyzes barriers to connecting and operating PV and renewable power plants.",1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
258,AKTIONSPLAN DER E-CONTROL,POLICY,"Policy type: action plan; Jurisdiction: Austria; Status: published in July 2023; Source meaning: The action plan by E-Control addresses the implementation of recommendations on connecting renewable energy installations, especially photovoltaics.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
259,STAKEHOLDERRUNDEN DES BMK,SUPPORT_SCHEME,Stakeholder rounds organized by the BMK serve as participatory implementation and consultation mechanisms to overcome barriers for the connection and operation of renewable-energy installations.,1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
260,QUALITÄTSSICHERNDE MASSNAHMEN,SUPPORT_SCHEME,"Quality-assurance measures are proposed instruments for ensuring high quality and sustainability of PV systems, covering areas such as product quality, installation, service, repair, and disposal.",1,3,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
261,EUROPÄISCHE QUALITÄTSNORMEN,POLICY,Policy type: standard/regulation; Jurisdiction: European Union; Status: in force; Source meaning: European quality standards are referenced as the foundation for establishing transparent quality labels for PV installations and value chains.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
262,TRANSPARENTE QUALITÄTSAUSZEICHNUNGEN,SUPPORT_SCHEME,"Transparent quality labels are proposed to be established for PV systems, based on existing European quality standards.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
263,PV-AUSBAUZIELE 2030,TARGET,Target: PV expansion for 2030; Target value: not specified; Unit: not specified; Deadline: 2030; Geographic scope: Austria (Bund/Bundesländer); Status: official/planned; Source meaning: Austria (federal and Länder level) has PV expansion targets set for 2030.,1,4,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
264,PV-AUSBAUZIELE 2040,TARGET,"Target: PV expansion for 2040; Target value: not specified; Unit: not specified; Deadline: 2040; Geographic scope: Austria (Bund/Bundesländer); Status: proposed/planned; Source meaning: It is proposed that 2030 PV targets be complemented by 2040 targets, and zoning be adjusted to meet 2040 expansion needs.",1,3,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
265,FLÄCHENPOTENTIALE AN INFRASTRUKTUREINRICHTUNGEN,MARKET_METRIC,Metric: potential available surface area for PV installations on infrastructure facilities; Value: not stated; Unit: not stated; Reference year: not specified; Geographic scope: Austria; Approximate: no; Source meaning: The NIP includes the identification of infrastructure sites for PV area potential.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
266,FLÄCHENPOTENTIALE AN FREIFLÄCHEN,MARKET_METRIC,Metric: potential available surface area for PV installations on open land or free-field sites; Value: not stated; Unit: not stated; Reference year: not specified; Geographic scope: Austria; Approximate: no; Source meaning: The NIP notes the potential of open areas for possible PV siting and expansion.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
267,ERNENNUNG VON ERNEUERBAREN-BESCHLEUNIGUNGSGEBIETEN,SUPPORT_SCHEME,"Designation of renewable acceleration areas is a support mechanism whereby Member States identify specific zones for rapid renewable deployment, as required by RED III.",1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
268,KLARE ZIELE DER BUNDESLÄNDER UND GEMEINDEN,POLICY,"Policy type: strategic target-setting; Jurisdiction: Austria (federal states and municipalities); Status: recommended; Source meaning: Clear, articulated PV expansion targets for Austria’s federal states and municipalities are identified as necessary for required development.",1,3,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
269,ANPASSUNG DER ZONIERUNGEN AN DEN AUSBAUBEDARF FÜR 2040,POLICY,Policy type: strategic spatial planning action; Jurisdiction: Austria; Status: recommendation/proposal; Source meaning: Zoning designations for PV development should be adjusted to reflect the needs for 2040 expansion.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
270,REGELMÄSSIGE ANPASSUNG DER FLÄCHENPOTENTIALE IM NIP,POLICY,Policy type: planning requirement; Jurisdiction: Austria; Status: recommendation/proposed; Source meaning: The area potentials indicated in the NIP are to be regularly reviewed and updated in alignment with revision cycles and target needs.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
271,LEBENSZYKLUS-ANSATZ DER EUROPÄISCHEN VERORDNUNG,POLICY,"Policy type: regulation; Jurisdiction: European Union; Status: planned/ongoing; Source meaning: The existing Ecodesign Directive is being transformed into a European regulation with a life-cycle approach, covering product quality, installation, service, repair, and disposal.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
272,"PRODUKTQUALITÄT, INSTALLATION, SERVICE, REPARATUR UND ENTSORGUNG VON PV-ANLAGEN",SUPPORT_SCHEME,"Support scheme involving measures to assure quality across all stages of PV system life, from product standards to end-of-life processes, aiming for long-term economic viability and ecological sustainability.",1,2,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
273,ENERGIEEFFIZIENZZIELE DER EU,TARGET,Target: achievement of the EU’s energy efficiency objectives; Target value: not stated; Unit: not stated; Deadline: not stated; Geographic scope: European Union; Status: official; Source meaning: The Ecodesign Directive was significant for achieving energy efficiency goals of the EU.,1,1,['41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'],,,,,
274,EUROPÄISCHER STROMMARKT,GEOGRAPHIC_AREA,The European electricity market is referenced as the geographic and market area with which Austria's electricity infrastructure and renewable generation are interconnected and impacted.,1,0,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
275,SPEICHERTECHNOLOGIEN,TECHNOLOGY,Storage technologies are mentioned as key participants working synergistically with photovoltaics and other generation technologies to ensure reliability and security of supply in the energy system.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
276,E-MOBILITÄT,TECHNOLOGY,"E-MOBILITÄT (e-mobility) refers to electric mobility technologies, such as electric vehicles, and is discussed as part of coordinated support schemes and sector coupling; it is identified as one of the systems to be synergistically integrated with photovoltaics and other components of the energy transition.",2,2,"['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76']",,,,,
277,WÄRMEPUMPE,TECHNOLOGY,Heat pumps are mentioned as a technology to be integrated with photovoltaics and other energy technologies in achieving an advanced renewable energy system.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
278,VERTEILNETZ,INFRASTRUCTURE,"The electricity distribution grid (Verteilnetz) is referenced as required for integrating renewable and decentralized electricity generation, with a specific focus on digitalization and transparency for planning and management.",1,2,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
279,ÜBERTRAGUNGSNETZ,INFRASTRUCTURE,The transmission grid is identified as a key level for integrated planning and expansion of energy infrastructure for electricity and gas in the context of Austria's transition to a climate-neutral energy system.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
280,ERZEUGUNGSINFRASTRUKTUR,INFRASTRUCTURE,The generation infrastructure references Austria's increasingly decentralized generation architecture due to ongoing photovoltaic expansion and related developments.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
281,INTELLIGENTES LASTMANAGEMENT,INFRASTRUCTURE,"Intelligent load management refers to advanced systems for optimizing and managing the use of generated PV energy, especially at the local and industrial/process level, to handle production peaks.",1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
282,ENERGIEMANAGEMENT,INFRASTRUCTURE,"Energy management systems are referenced, especially local and smart ones, as critical for managing generation and consumption peaks and increasing self-consumption by private stakeholders and companies.",1,4,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
283,DIGITALE INFRASTRUKTUR DES STROMNETZES,INFRASTRUCTURE,The digital infrastructure of the electricity grid is noted as essential for integrating renewable and decentralized electricity generation and for increasing transparency and planning efficiency.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
284,AKTIONSPLAN NETZANSCHLUSS DER E-CONTROL,POLICY,Policy type: action plan; Jurisdiction: Austria; Status: in force/implemented (implied as existing in the text); Source meaning: E-Control's action plan for grid connection includes comprehensive measures for the rapid and smooth connection of customer installations.,1,2,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
285,PV-AUSBAU,TARGET,Target: expansion of photovoltaics; Target value: not specified in this excerpt; Unit: not specified; Deadline: not specified; Geographic scope: Austria; Status: official/planned (recurrent as a major goal in the passage); Source meaning: Expansion of photovoltaics is a principal and reiterated goal throughout the passage.,1,4,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
286,INNOVATION IM SOLARTECHNISCHEN BEREICH,TARGET,Target: increased innovation in solar technology and system solutions; Target value: not quantified; Unit: not applicable; Deadline: ongoing; Geographic scope: Austria; Status: official/planned; Source meaning: Increasing innovation to create intelligent products and system solutions is explicitly described as an accompanying goal of PV expansion.,1,3,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
287,FÖRDERPROGRAMM MUSTER- & LEUCHTTURMPROJEKTE PHOTOVOLTAIK DES KLIMA- UND ENERGIEFONDS,SUPPORT_SCHEME,"Support scheme: Funding programme; Jurisdiction: Austria; Status: implemented/ongoing; Source meaning: The ""Muster- & Leuchtturmprojekte Photovoltaik"" funding programme of the Climate and Energy Fund contributes significantly to promoting innovation in the solar-technology sector and is planned to be continued long-term.",1,3,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
288,PV-AUSTRIA,ORGANIZATION,PV Austria is referenced as participating in a cited study on renewable energy connections (role not further detailed in this passage).,1,0,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
289,KUND:INNENANLAGEN,STAKEHOLDER,"Customer installations (operated by end users), such as PV systems, are the focus of measures for improved and accelerated grid connection and network integration.",1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
290,FLEXIBILITÄTSANREIZE,SUPPORT_SCHEME,Support scheme: Incentives; Jurisdiction: Austria; Status: proposed/planned; Source meaning: Flexibility incentives are described as contributing (in future) to smoothing PV generation peaks on both the consumption and generation side.,1,2,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
291,SPEICHERINITIATIVE DES KLIMA- UND ENERGIEFONDS,SUPPORT_SCHEME,Support scheme: funding initiative for storage; Jurisdiction: Austria; Status: implemented/ongoing; Source meaning: The storage initiative of the Climate and Energy Fund forms a basis for further implementation measures supporting energy storage and management.,1,2,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
292,FLEXIBILITÄTSSTUDIEN DER E-CONTROL,POLICY,Policy type: studies/research; Jurisdiction: Austria; Status: completed; Source meaning: Flexibility studies carried out by E-Control serve as a foundation for preparing further implementation measures regarding grid flexibility.,1,3,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
293,PHOTOVOLTAIK-ERZEUGUNGSSPITZEN,CONSTRAINT,Constraint type: technical; Geographic scope: Austria; Source meaning: Peaks in PV generation can no longer be fully absorbed by the public electricity grid.,1,8,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
294,DEZENTRALE ERZEUGUNGSSTRUKTUR,CONSTRAINT,"Constraint type: structural/technical; Geographic scope: Austria; Source meaning: Due to PV expansion, Austria's power generation infrastructure is becoming more decentralized over time, impacting grid and energy system operation.",1,4,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
295,GERINGE BZW. NEGATIVE STROMMARKTPREISE ZU ERZEUGUNGSSTARKEN ZEITEN,CONSTRAINT,"Constraint type: economic/market; Geographic scope: Austria/EU electricity market; Source meaning: During times of strong PV production, low or even negative electricity market prices can occur, making export of PV energy less attractive.",1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
296,EPOOL,ORGANIZATION,"EPOOL is referenced as one of the organizations involved in the cited study ""Anschluss erneuerbare Energien"" related to renewable energy grid connection in Austria, and as a contributor or author of PV studies in Austria.",2,1,"['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",,,,,
297,ERGEBNISORIENTIERTE NETZENTWICKLUNGSPLÄNE,POLICY,Policy type: plan/regulation; Jurisdiction: Austria; Status: planned/proposed; Source meaning: Ambitious and regularly created network development plans at the distribution level are referenced as a foundational requirement for PV integration and expansion.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
298,BAUTEILAKTIVIERUNG,TECHNOLOGY,"Component activation (bauteilaktivierung) is referenced as an on-site use technology for generated PV energy, specifically to address generation peaks.",1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
299,E-LADEMANAGEMENT,TECHNOLOGY,E-charging management is referenced as a means for on-site usage and load management of PV electricity.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
300,WÄRMEPUMPENSTEUERUNG,TECHNOLOGY,Heat pump control (Wärmepumpensteuerung) is cited as a possible technology for demand-side management of PV power.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
301,PHOTOVOLTAIKANLAGEN MIT OST-WEST ODER WINTEROPTIMIERTER AUSRICHTUNG,TECHNOLOGY,PV systems with east-west or winter-optimized orientation are mentioned as potential responses to reduce the export of PV production during generation-strong periods.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
302,VOLKSWIRTSCHAFTLICHER MEHRWERT DURCH NETZ-INFRASTRUKTURWEITERENTWICKLUNG,MARKET_METRIC,Metric: macroeconomic value added due to rapid and cost-optimized network infrastructure development; Value: not specified; Unit: not specified; Reference year: not specified; Geographic scope: Austria; Approximate: yes; Source meaning: The passage states that network infrastructure development has high macroeconomic benefit for Austria.,1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
303,ZUKÜNFTIGE ZEITWEISE RELEVANTE ÜBERKAPAZITÄTEN AUS PHOTOVOLTAIK,CONSTRAINT,"Constraint type: technical/economic; Geographic scope: Austria; Source meaning: Future, occasionally significant overcapacity from photovoltaics is expected as a result of ongoing PV expansion.",1,2,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
304,KOUPPLUNG DES EUROPÄISCHEN STROMMARKTES,CONSTRAINT,"Constraint type: market/technical; Geographic scope: European electricity market; Source meaning: The coupling of the European electricity market, alongside increased renewable generation and electricity demand, is cited as a major challenge for the operation of electricity networks.",1,1,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],,,,,
305,EUROPÄISCHER MARKT,GEOGRAPHIC_AREA,The European market refers to the larger European electricity and PV markets mentioned for comparison to Austrian production and pricing.,1,0,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
306,OST-WEST ORIENTIERUNGEN,TECHNOLOGY,"East-west orientations of PV systems, mentioned as an approach to optimize production over a broader range of hours.",1,1,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
307,VERTIKALE PV-ANLAGEN,TECHNOLOGY,"Vertical PV installations, listed as a technology for expanding periods of high PV yields.",1,1,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
308,GROSSSPEICHER,INFRASTRUCTURE,Large-scale storage systems for long-term electricity storage in Austria.,1,4,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
309,WASSERSTOFF-ELEKTROLYSEURE,INFRASTRUCTURE,"Hydrogen electrolysers, referenced as infrastructure for long-term energy storage.",1,2,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
310,NIP,POLICY,Policy type: plan; Jurisdiction: Austria; Status: unknown; Source meaning: The NIP is referenced as containing first assessments of grid hosting capacities and economic sense for storage and hydrogen infrastructure. The acronym is not expanded in this passage.,1,3,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
311,FÖRDERPROGRAMM FÜR GROSSSPEICHER,SUPPORT_SCHEME,A specific subsidy programme for large-scale storage launched by Klima- und Energiefonds in 2023.,1,2,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
312,NOTSTROMSYSTEME,TECHNOLOGY,"Emergency power systems, which supply only the most essential loads during a power outage.",1,2,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
313,ERSATZSTROMSYSTEME,TECHNOLOGY,Backup power systems that ensure almost complete power supply in a household or company during a power failure.,1,2,['2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'],,,,,
